Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2024-12-28 17:24:32,Shopping,EUR,-86.84,,,EUR,,,,
2024-12-28 17:24:32,Entertainment,EUR,-44.75,,,EUR,,,,
2024-12-27 17:24:32,Shopping,EUR,-2.5,,,EUR,,,,
2024-12-26 17:24:32,Shopping,EUR,-20.2,,,EUR,,,,
2024-12-26 17:24:32,Entertainment,EUR,-54.08,,,EUR,,,,
2024-12-26 17:24:32,Dining,EUR,-13.25,,,EUR,,,,
2024-12-25 17:24:32,Dining,EUR,-64.03,,,EUR,,,,
2024-12-24 17:24:32,Shopping,EUR,-92.76,,,EUR,,,,
2024-12-24 17:24:32,Groceries,EUR,-45.38,,,EUR,,,,
2024-12-24 17:24:32,Dining,EUR,-44.94,,,EUR,,,,
2024-12-23 17:24:32,Entertainment,EUR,-80.45,,,EUR,,,,
2024-12-22 17:24:32,Dining,EUR,-20.03,,,EUR,,,,
2024-12-21 17:24:32,Dining,EUR,-99.97,,,EUR,,,,
2024-12-20 17:24:32,Dining,EUR,-84.35,,,EUR,,,,
2024-12-19 17:24:32,Entertainment,EUR,-37.67,,,EUR,,,,
2024-12-18 17:24:32,Shopping,EUR,-36.87,,,EUR,,,,
2024-12-18 17:24:32,Salary,EUR,7336.42,,,EUR,,,,
2024-12-18 17:24:32,Entertainment,EUR,-52.45,,,EUR,,,,
